,Average Absolute Difference %,Average Net Difference %,Eight Count,Eight Count Difference %,Eight Count Expectation %,Eight Count Result %,Five Count,Five Count Difference %,Five Count Expectation %,Five Count Result %,Four Count,Four Count Difference %,Four Count Expectation %,Four Count Result %,Nine Count,Nine Count Difference %,Nine Count Expectation %,Nine Count Result %,One Count,One Count Difference %,One Count Expectation %,One Count Result %,Seven Count,Seven Count Difference %,Seven Count Expectation %,Seven Count Result %,Six Count,Six Count Difference %,Six Count Expectation %,Six Count Result %,State,Three Count,Three Count Difference %,Three Count Expectation %,Three Count Result %,Total,Two Count,Two Count Difference %,Two Count Expectation %,Two Count Result %,diff_count,diff_sum
32,1005.15,1005.15,1.0,878.08,0.73,7.14,,,,,,,,,,,,,2.0,239.43,4.21,14.29,1.0,781.48,0.81,7.14,2.0,1420.21,0.94,14.29,Massachusetts,5.0,1940.57,1.75,35.71,14,3.0,771.14,2.46,21.43,6,6030.91
33,159.94,159.46,,,,,3.0,149.68,3.08,7.69,3.0,103.44,3.78,7.69,3.0,329.61,1.79,7.69,13.0,183.9,11.74,33.33,2.0,126.99,2.26,5.13,1.0,-1.92,2.61,2.56,Washington,4.0,110.25,4.88,10.26,39,10.0,273.76,6.86,25.64,8,1275.71
34,431.08,431.08,2.0,625.0,1.2,8.7,2.0,378.02,1.82,8.7,3.0,484.75,2.23,13.04,,,,,8.0,402.6,6.92,34.78,,,,,2.0,464.94,1.54,8.7,Wyoming,5.0,654.86,2.88,21.74,23,1.0,7.41,4.05,4.35,7,3017.58
35,62.77,50.05,3.0,40.84,3.33,4.69,6.0,85.38,5.06,9.38,8.0,101.29,6.21,12.5,4.0,112.59,2.94,6.25,26.0,110.9,19.26,40.62,2.0,-15.9,3.71,3.12,4.0,45.69,4.29,6.25,Louisiana,3.0,-41.37,8.0,4.69,64,8.0,11.01,11.26,12.5,9,450.43000000000006
36,71.19,53.88,7.0,100.47,4.26,8.54,7.0,31.79,6.48,8.54,7.0,7.42,7.95,8.54,11.0,255.7,3.77,13.41,23.0,13.65,24.68,28.05,6.0,53.78,4.76,7.32,9.0,100.0,5.49,10.98,Mississippi,6.0,-28.59,10.25,7.32,82,6.0,-49.27,14.43,7.32,9,484.95
37,128.96,127.79,,,,,7.0,182.81,4.42,12.5,11.0,261.69,5.43,19.64,6.0,315.12,2.58,10.71,9.0,-4.69,16.86,16.07,2.0,9.85,3.25,3.57,4.0,90.4,3.75,7.14,Montana,8.0,104.14,7.0,14.29,56,9.0,62.98,9.86,16.07,8,1022.3000000000001
38,5037.54,5037.54,,,,,,,,,,,,,,,,,,,,,1.0,6796.55,0.29,20.0,1.0,5782.35,0.34,20.0,Rhode Island,1.0,3125.81,0.62,20.0,5,2.0,4445.45,0.88,40.0,4,20150.16
39,95.75,95.75,2.0,27.27,2.86,3.64,3.0,25.58,4.34,5.45,4.0,36.14,5.34,7.27,4.0,187.35,2.53,7.27,12.0,31.76,16.56,21.82,3.0,70.85,3.19,5.45,7.0,245.92,3.68,12.73,West Virginia,8.0,111.48,6.88,14.55,55,12.0,125.41,9.68,21.82,9,861.76
40,1168.77,1168.77,1.0,1823.08,0.52,10.0,1.0,1165.82,0.79,10.0,1.0,930.93,0.97,10.0,,,,,2.0,564.45,3.01,20.0,,,,,1.0,1392.54,0.67,10.0,New Hampshire,1.0,700.0,1.25,10.0,10,3.0,1604.55,1.76,30.0,7,8181.37
41,648.87,648.87,1.0,653.01,0.83,6.25,1.0,396.03,1.26,6.25,,,,,1.0,744.59,0.74,6.25,4.0,418.67,4.82,25.0,,,,,1.0,484.11,1.07,6.25,Maine,3.0,837.5,2.0,18.75,16,5.0,1008.16,2.82,31.25,7,4542.07
42,523.33,523.33,1.0,568.18,0.88,5.88,,,,,1.0,256.36,1.65,5.88,,,,,5.0,474.41,5.12,29.41,1.0,493.94,0.99,5.88,1.0,415.79,1.14,5.88,Nevada,1.0,177.36,2.12,5.88,17,7.0,1277.26,2.99,41.18,7,3663.3
43,99.53,99.53,,,,,4.0,80.19,4.19,7.55,6.0,120.23,5.14,11.32,3.0,131.97,2.44,5.66,24.0,183.89,15.95,45.28,3.0,84.36,3.07,5.66,,,,,North Dakota,4.0,14.05,6.62,7.55,53,9.0,81.99,9.33,16.98,7,696.6800000000001
44,2139.62,2139.62,1.0,2876.19,0.42,12.5,1.0,1884.13,0.63,12.5,1.0,1502.56,0.78,12.5,1.0,3278.38,0.37,12.5,1.0,418.67,2.41,12.5,1.0,2617.39,0.46,12.5,,,,,Connecticut,2.0,2400.0,1.0,25.0,8,,,,,7,14977.32
45,9765.96,9765.96,,,,,,,,,,,,,,,,,1.0,3603.33,0.9,33.33,1.0,19505.88,0.17,33.33,,,,,Delaware,,,,,3,1.0,6188.68,0.53,33.33,3,29297.89
46,882.19,882.19,,,,,,,,,,,,,,,,,7.0,1087.65,4.21,50.0,1.0,781.48,0.81,7.14,,,,,Vermont,1.0,308.0,1.75,7.14,14,5.0,1351.63,2.46,35.71,4,3528.76
47,7971.54,7971.54,,,,,1.0,7712.5,0.32,25.0,,,,,,,,,,,,,,,,,1.0,9159.26,0.27,25.0,Hawaii,,,,,4,2.0,7042.86,0.7,50.0,3,23914.620000000003
48,972.18,972.18,,,,,,,,,4.0,1726.71,1.46,26.67,2.0,1831.88,0.69,13.33,4.0,491.35,4.51,26.67,1.0,666.67,0.87,6.67,,,,,Arizona,3.0,963.83,1.88,20.0,15,1.0,152.65,2.64,6.67,6,5833.09
49,55455.56,55455.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District of Columbia,,,,,1,1.0,55455.56,0.18,100.0,1,55455.56
